question,description,imagepath,option1,option2,option3,option4,option5
question1,desrption1,qrc:/images/test111.png,op11,op12,op13,op14,op15
question2,desrption2,qrc:/images/test112.png,op21,op22,op23,op24,op25
question3,desrption3,qrc:/images/test113.png,op31,op32,op33,op34,op35
question4,desrption4,qrc:/images/test114.png,op41,op42,op43,op44,op45
question5,desrption5,qrc:/images/test115.png,op51,op52,op53,op54,op55
question6,desrption6,qrc:/images/test116.png,op61,op62,op63,op64,op65
question7,desrption7,qrc:/images/test117.png,op71,op72,op73,op74,op75
question8,"desrption8,kjk,jk,k",qrc:/images/test118.png,op81,op82,op83,op84,op85
question9,desrption9,qrc:/images/test119.png,op91,op92,op93,op94,NULL
question10,"desc10,,,nkjjk!~&()%^$#@()”:<>?",qrc:/images/test11.png,op101,op102,op103,op104,NULL
